# Stats SNR (Man only)
SNR,WER_NoLM,CI_Low_NoLM,CI_High_NoLM,WER_LM,CI_Low_LM,CI_High_LM
SNR05dB,76.75,72.26666666666667,80.91708333333334,73.55,68.9325,77.75125
SNR15dB,40.516666666666666,36.065416666666664,45.08458333333333,37.68333333333334,32.93291666666667,42.03333333333333
SNR25dB,22.71666666666667,19.249583333333334,26.133749999999996,21.933333333333334,18.332500000000003,25.68416666666667
SNR35dB,17.433333333333334,14.6,20.45333333333333,16.983333333333334,14.082500000000001,20.066666666666666

# Stats Speaker (SNR35dB only)
Speaker,WER_NoLM,CI_Low_NoLM,CI_High_NoLM,WER_LM,CI_Low_LM,CI_High_LM
boy,32.96666666666667,28.598333333333336,37.05041666666666,29.833333333333336,25.349583333333335,34.11666666666667
girl,37.11666666666667,32.8825,41.91708333333333,34.266666666666666,30.230833333333333,38.98375
man,17.433333333333334,14.6,20.45333333333333,16.983333333333334,14.082500000000001,20.066666666666666
woman,17.96666666666667,14.664166666666667,21.633333333333333,17.683333333333334,14.015833333333333,21.467916666666667

# Stats Length (All)
Length,WER_NoLM,CI_Low_NoLM,CI_High_NoLM,WER_LM,CI_Low_LM,CI_High_LM
1,39.64285714285714,36.642857142857146,42.42857142857142,38.857142857142854,35.92857142857142,41.57142857142857
3,34.95238095238095,32.141666666666666,38.047619047619044,31.9047619047619,29.142857142857142,34.76190476190476
5,26.02857142857143,23.513571428571435,28.40071428571429,22.914285714285715,20.627857142857142,25.086428571428577
